account,date,total_pnl,total_size,avg_size,num_trades,avg_leverage,sentiment,wins,win_rate,long_ratio,leverage_segment,frequency_segment,consistency_segment
trader_0000,2023-12-31,-206.6726076848384,32487.422640143082,5414.570440023847,6,14.819432269237799,,2,0.3333333333333333,0.16666666666666666,High Leverage,Infrequent,Inconsistent
trader_0000,2024-01-01,-181.4360216439396,23686.819028962276,3947.803171493713,6,15.515309559172492,Fear,2,0.3333333333333333,0.6666666666666666,High Leverage,Infrequent,Inconsistent
trader_0000,2024-01-02,39.42752975891707,27007.132793030472,4501.188798838412,6,14.579870121597432,Fear,4,0.6666666666666666,0.6666666666666666,High Leverage,Infrequent,Inconsistent
trader_0000,2024-01-03,48.71615773587137,9715.75122113717,4857.875610568585,2,14.976120166825321,Fear,2,1.0,1.0,High Leverage,Infrequent,Inconsistent
trader_0000,2024-01-04,-179.8063299089115,40765.264904665484,6794.210817444247,6,15.319702324394777,Fear,2,0.3333333333333333,0.6666666666666666,High Leverage,Infrequent,Inconsistent
trader_0000,2024-01-05,282.3921906170397,43562.67753807327,4356.267753807328,10,15.190796519009897,Fear,7,0.7,0.6,High Leverage,Infrequent,Inconsistent
trader_0000,2024-01-06,-89.38430173172101,13849.869734887488,2769.9739469774977,5,13.691345263862905,Greed,1,0.2,0.4,High Leverage,Infrequent,Inconsistent
trader_0000,2024-01-07,57.32149672216734,24274.91119360666,4045.8185322677764,6,15.223472247914733,Greed,5,0.8333333333333334,0.5,High Leverage,Infrequent,Inconsistent
trader_0000,2024-01-08,-100.70785385259585,26826.794573220293,5365.358914644059,5,16.52492365561526,Greed,3,0.6,0.4,High Leverage,Infrequent,Inconsistent
trader_0000,2024-01-09,-117.40907865827018,13236.57976224195,4412.19325408065,3,13.724476801609967,Greed,1,0.3333333333333333,0.6666666666666666,High Leverage,Infrequent,Inconsistent
trader_0000,2024-01-10,150.24426644367279,17062.471096524612,4265.617774131153,4,15.311416602023213,Greed,3,0.75,0.5,High Leverage,Infrequent,Inconsistent
trader_0000,2024-01-11,325.6124212844336,36265.2914204684,6044.215236744733,6,14.059462641078332,Fear,5,0.8333333333333334,0.5,High Leverage,Infrequent,Inconsistent
trader_0000,2024-01-12,278.5014518931803,27610.233572307214,3944.3190817581735,7,15.036744464254243,Fear,5,0.7142857142857143,0.42857142857142855,High Leverage,Infrequent,Inconsistent
trader_0000,2024-01-13,312.03115797454257,23632.500859664167,3938.750143277361,6,14.208865715313856,Fear,5,0.8333333333333334,0.5,High Leverage,Infrequent,Inconsistent
trader_0000,2024-01-14,-58.97030073174804,15271.579451365147,3054.3158902730293,5,15.245955249988938,Greed,1,0.2,0.6,High Leverage,Infrequent,Inconsistent
trader_0000,2024-01-15,200.68824992756475,31321.49294313415,5220.248823855692,6,13.94306525041351,Greed,4,0.6666666666666666,0.8333333333333334,High Leverage,Infrequent,Inconsistent
trader_0000,2024-01-16,-13.519875843291807,32211.825349434024,5368.637558239004,6,14.918554537041354,Greed,2,0.3333333333333333,0.3333333333333333,High Leverage,Infrequent,Inconsistent
